date,vix3m/vix
2017-01-03,1.210894942
2017-01-04,1.252320675
2017-01-05,1.259640103
2017-01-06,1.286219081
2017-01-09,1.265570934
2017-01-10,1.27589208
2017-01-11,1.285079929
2017-01-12,1.263431542
2017-01-13,1.294746215
2017-01-17,1.254422915
2017-01-18,1.197115385
2017-01-19,1.175273865
2017-01-20,1.255632582
2017-01-23,1.235344095
2017-01-24,1.252935863
2017-01-25,1.259019426
2017-01-26,1.282220132
2017-01-27,1.293005671
2017-01-30,1.212962963
2017-01-31,1.207673061
2017-02-01,1.209991533
2017-02-02,1.222967309
2017-02-03,1.280765725
2017-02-06,1.252418646
2017-02-07,1.271036315
2017-02-08,1.271615721
2017-02-09,1.302389706
2017-02-10,1.28202765
2017-02-13,1.235772358
2017-02-14,1.228119181
2017-02-15,1.120300752
2017-02-16,1.159013605
2017-02-17,1.19408181
2017-02-21,1.213483146
2017-02-22,1.22572402
2017-02-23,1.258753202
2017-02-24,1.286835222
2017-02-27,1.23325062
2017-02-28,1.182662539
2017-03-01,1.185007974
2017-03-02,1.250635055
2017-03-03,1.301094891
2017-03-06,1.275800712
2017-03-07,1.258515284
2017-03-08,1.225969646
2017-03-09,1.201626016
2017-03-10,1.233276158
2017-03-13,1.265198238
2017-03-14,1.189430894
2017-03-15,1.220980224
2017-03-16,1.22925959
2017-03-17,1.234042553
2017-03-20,1.225749559
2017-03-21,1.172413793
2017-03-22,1.145979703
2017-03-23,1.136432927
2017-03-24,1.122685185
2017-03-27,1.1384
2017-03-28,1.186470078
2017-03-29,1.176007005
2017-03-30,1.158578856
2017-03-31,1.099434115
2017-04-03,1.104200323
2017-04-04,1.134011874
2017-04-05,1.095422808
2017-04-06,1.102502018
2017-04-07,1.092463092
2017-04-10,1.03772242
2017-04-11,1.00597213
2017-04-12,0.968928345
2017-04-13,0.986842105
2017-04-17,1.013642565
2017-04-18,1.023578363
2017-04-19,1.010046885
2017-04-20,1.026855124
2017-04-21,1.008202324
2017-04-24,1.1900369
2017-04-25,1.194237918
2017-04-26,1.196313364
2017-04-27,1.235521236
2017-04-28,1.195009242
2017-05-01,1.24925816
2017-05-02,1.211520302
2017-05-03,1.225655431
2017-05-04,1.226577438
2017-05-05,1.215704825
2017-05-08,1.28863869
2017-05-09,1.276104418
2017-05-10,1.264446621
2017-05-11,1.227358491
2017-05-12,1.247115385
2017-05-15,1.226487524
2017-05-16,1.187793427
2017-05-17,1.000641437
2017-05-18,1.021145975
2017-05-19,1.120431894
2017-05-22,1.185727356
2017-05-23,1.203358209
2017-05-24,1.256487026
2017-05-25,1.252252252
2017-05-26,1.268093782
2017-05-30,1.227360308
2017-05-31,1.213256484
2017-06-01,1.255813953
2017-06-02,1.277948718
2017-06-05,1.276067527
2017-06-06,1.251674641
2017-06-07,1.259865255
2017-06-08,1.255905512
2017-06-09,1.211214953
2017-06-12,1.160558464
2017-06-13,1.22168906
2017-06-14,1.20018797
2017-06-15,1.18440367
2017-06-16,1.224470135
2017-06-19,1.195756991
2017-06-20,1.168508287
2017-06-21,1.186976744
2017-06-22,1.204198473
2017-06-23,1.233532934
2017-06-26,1.239393939
2017-06-27,1.171790235
2017-06-28,1.236291127
2017-06-29,1.149475524
2017-06-30,1.175313059
2017-07-03,1.18627451
2017-07-05,1.20234869
2017-07-06,1.125199362
2017-07-07,1.208221626
2017-07-10,1.201620162
2017-07-11,1.208448118
2017-07-12,1.240776699
2017-07-13,1.267676768
2017-07-14,1.286014721
2017-07-17,1.250509165
2017-07-18,1.238624874
2017-07-19,1.225740552
2017-07-20,1.256784969
2017-07-21,1.288461538
2017-07-24,1.276776246
2017-07-25,1.277836691
2017-07-26,1.261458333
2017-07-27,1.228486647
2017-07-28,1.222546161
2017-07-31,1.21539961
2017-08-01,1.228939544
2017-08-02,1.221789883
2017-08-03,1.220306513
2017-08-04,1.271186441
2017-08-07,1.274924471
2017-08-08,1.204379562
2017-08-09,1.214221422
2017-08-10,1.010598504
2017-08-11,1.056737589
2017-08-14,1.128953771
2017-08-15,1.15448505
2017-08-16,1.156729131
2017-08-17,1.037942122
2017-08-18,1.097475456
2017-08-21,1.13646702
2017-08-22,1.200881057
2017-08-23,1.169795918
2017-08-24,1.176614881
2017-08-25,1.240248227
2017-08-28,1.235865724
2017-08-29,1.206837607
2017-08-30,1.260249554
2017-08-31,1.303116147
2017-09-01,1.341559724
2017-09-05,1.19215045
2017-09-06,1.238177128
2017-09-07,1.23982684
2017-09-08,1.212046205
2017-09-11,1.291705499
2017-09-12,1.281663516
2017-09-13,1.26
2017-09-14,1.260536398
2017-09-15,1.274336283
2017-09-18,1.250246305
2017-09-19,1.250491159
2017-09-20,1.294478528
2017-09-21,1.309203723
2017-09-22,1.339937435
2017-09-25,1.2791381
2017-09-26,1.280235988
2017-09-27,1.308004053
2017-09-28,1.336125654
2017-09-29,1.313354364
2017-10-02,1.307936508
2017-10-03,1.294426919
2017-10-04,1.28556594
2017-10-05,1.325353645
2017-10-06,1.289119171
2017-10-09,1.232333011
2017-10-10,1.237103175
2017-10-11,1.242639594
2017-10-12,1.237134208
2017-10-13,1.246618106
2017-10-16,1.204843592
2017-10-17,1.168768186
2017-10-18,1.183714002
2017-10-19,1.190049751
2017-10-20,1.188565697
2017-10-23,1.13369467
2017-10-24,1.135304659
2017-10-25,1.153161175
2017-10-26,1.144247788
2017-10-27,1.247959184
2017-10-30,1.197142857
2017-10-31,1.21611002
2017-11-01,1.232352941
2017-11-02,1.27693857
2017-11-03,1.358862144
2017-11-06,1.337234043
2017-11-07,1.290192113
2017-11-08,1.316973415
2017-11-09,1.251428571
2017-11-10,1.205491585
2017-11-13,1.195652174
2017-11-14,1.201898188
2017-11-15,1.116527037
2017-11-16,1.18707483
2017-11-17,1.207349081
2017-11-20,1.246948357
2017-11-21,1.289825283
2017-11-22,1.259109312
2017-11-24,1.284384695
2017-11-27,1.273556231
2017-11-28,1.22333001
2017-11-29,1.198130841
2017-11-30,1.156028369
2017-12-01,1.161854768
2017-12-04,1.16010274
2017-12-05,1.19505737
2017-12-06,1.220508167
2017-12-07,1.272637795
2017-12-08,1.300626305
2017-12-11,1.314775161
2017-12-12,1.258064516
2017-12-13,1.227897839
2017-12-14,1.220209724
2017-12-15,1.282377919
2017-12-18,1.266526758
2017-12-19,1.247258225
2017-12-20,1.272633745
2017-12-21,1.283783784
2017-12-22,1.261616162
2017-12-26,1.231219512
2017-12-27,1.208213945
2017-12-28,1.253438114
2017-12-29,1.185688406
